"IncomeE","Majority","LUOF_logical","Income10k","White","Black","No_Majority","Latino","Decile"
120265,"White",0,12.0265,1,0,0,0,10
67165,"White",0,6.7165,1,0,0,0,6
128105,"White",0,12.8105,1,0,0,0,10
169755,"No Majority",0,16.9755,0,0,1,0,10
104056,"White",1,10.4056,1,0,0,0,9
61346,"No Majority",0,6.1346,0,0,1,0,5
54707,"Hispanic/Latino",1,5.4707,0,0,0,1,4
40258,"No Majority",0,4.0258,0,0,1,0,2
103155,"White",0,10.3155,1,0,0,0,9
114970,"White",0,11.497,1,0,0,0,9
209097,"No Majority",0,20.9097,0,0,1,0,10
72888,"Black",0,7.2888,0,1,0,0,7
65568,"No Majority",1,6.5568,0,0,1,0,6
110667,"White",0,11.0667,1,0,0,0,9
69052,"White",0,6.9052,1,0,0,0,6
89651,"White",0,8.9651,1,0,0,0,8
155918,"White",0,15.5918,1,0,0,0,10
151354,"White",0,15.1354,1,0,0,0,10
109577,"White",0,10.9577,1,0,0,0,9
72000,"White",0,7.2,1,0,0,0,7
128571,"White",0,12.8571,1,0,0,0,10
114718,"White",0,11.4718,1,0,0,0,9
114001,"White",0,11.4001,1,0,0,0,9
83713,"No Majority",0,8.3713,0,0,1,0,8
91842,"White",0,9.1842,1,0,0,0,8
118281,"White",0,11.8281,1,0,0,0,10
53506,"Hispanic/Latino",0,5.3506,0,0,0,1,4
77113,"Hispanic/Latino",0,7.7113,0,0,0,1,7
79531,"White",0,7.9531,1,0,0,0,7
119797,"No Majority",0,11.9797,0,0,1,0,10
122321,"White",0,12.2321,1,0,0,0,10
72917,"White",0,7.2917,1,0,0,0,7
100547,"White",0,10.0547,1,0,0,0,9
69052,"No Majority",0,6.9052,0,0,1,0,6
42722,"Black",0,4.2722,0,1,0,0,2
67961,"White",0,6.7961,1,0,0,0,6
86583,"White",0,8.6583,1,0,0,0,8
63466,"White",0,6.3466,1,0,0,0,6
84184,"White",0,8.4184,1,0,0,0,8
250001,"White",0,25.0001,1,0,0,0,10
191524,"White",0,19.1524,1,0,0,0,10
131607,"White",0,13.1607,1,0,0,0,10
77667,"White",0,7.7667,1,0,0,0,7
135750,"White",0,13.575,1,0,0,0,10
173490,"White",0,17.349,1,0,0,0,10
58839,"No Majority",0,5.8839,0,0,1,0,5
59773,"Black",0,5.9773,0,1,0,0,5
128239,"White",0,12.8239,1,0,0,0,10
73013,"Black",0,7.3013,0,1,0,0,7
128995,"No Majority",0,12.8995,0,0,1,0,10
67054,"No Majority",0,6.7054,0,0,1,0,6
68363,"Black",0,6.8363,0,1,0,0,6
44688,"No Majority",0,4.4688,0,0,1,0,3
71708,"No Majority",0,7.1708,0,0,1,0,7
135275,"White",0,13.5275,1,0,0,0,10
131000,"White",0,13.1,1,0,0,0,10
116534,"White",0,11.6534,1,0,0,0,10
53250,"Hispanic/Latino",0,5.325,0,0,0,1,4
75845,"No Majority",0,7.5845,0,0,1,0,7
181500,"White",0,18.15,1,0,0,0,10
158594,"White",0,15.8594,1,0,0,0,10
163778,"White",0,16.3778,1,0,0,0,10
72000,"Hispanic/Latino",0,7.2,0,0,0,1,7
81552,"No Majority",0,8.1552,0,0,1,0,8
162404,"No Majority",0,16.2404,0,0,1,0,10
113169,"White",0,11.3169,1,0,0,0,9
105405,"White",0,10.5405,1,0,0,0,9
193477,"White",0,19.3477,1,0,0,0,10
121172,"White",0,12.1172,1,0,0,0,10
59688,"Black",0,5.9688,0,1,0,0,5
95590,"White",0,9.559,1,0,0,0,9
80924,"No Majority",0,8.0924,0,0,1,0,8
65802,"Hispanic/Latino",0,6.5802,0,0,0,1,6
191719,"White",0,19.1719,1,0,0,0,10
184244,"White",0,18.4244,1,0,0,0,10
124266,"White",0,12.4266,1,0,0,0,10
179844,"White",0,17.9844,1,0,0,0,10
116719,"White",0,11.6719,1,0,0,0,10
111415,"White",0,11.1415,1,0,0,0,9
101818,"White",0,10.1818,1,0,0,0,9
105038,"White",0,10.5038,1,0,0,0,9
156164,"White",0,15.6164,1,0,0,0,10
176071,"White",0,17.6071,1,0,0,0,10
146104,"White",0,14.6104,1,0,0,0,10
106250,"White",0,10.625,1,0,0,0,9
119000,"White",0,11.9,1,0,0,0,10
148596,"White",0,14.8596,1,0,0,0,10
69325,"Black",0,6.9325,0,1,0,0,6
80645,"No Majority",0,8.0645,0,0,1,0,8
103712,"White",0,10.3712,1,0,0,0,9
91208,"White",0,9.1208,1,0,0,0,8
67692,"White",0,6.7692,1,0,0,0,6
73085,"White",0,7.3085,1,0,0,0,7
250001,"White",0,25.0001,1,0,0,0,10
91763,"White",0,9.1763,1,0,0,0,8
77917,"White",1,7.7917,1,0,0,0,7
72267,"No Majority",0,7.2267,0,0,1,0,7
53977,"White",0,5.3977,1,0,0,0,4
74632,"Hispanic/Latino",0,7.4632,0,0,0,1,7
149250,"White",0,14.925,1,0,0,0,10
82262,"White",0,8.2262,1,0,0,0,8
111168,"White",0,11.1168,1,0,0,0,9
75179,"No Majority",0,7.5179,0,0,1,0,7
158258,"White",0,15.8258,1,0,0,0,10
142917,"White",0,14.2917,1,0,0,0,10
145372,"White",0,14.5372,1,0,0,0,10
123611,"White",0,12.3611,1,0,0,0,10
129479,"White",0,12.9479,1,0,0,0,10
120455,"White",0,12.0455,1,0,0,0,10
54103,"No Majority",0,5.4103,0,0,1,0,4
123906,"White",0,12.3906,1,0,0,0,10
142576,"White",0,14.2576,1,0,0,0,10
90208,"White",0,9.0208,1,0,0,0,8
90605,"White",0,9.0605,1,0,0,0,8
138107,"White",0,13.8107,1,0,0,0,10
149265,"White",0,14.9265,1,0,0,0,10
90688,"No Majority",0,9.0688,0,0,1,0,8
124944,"White",0,12.4944,1,0,0,0,10
144013,"White",0,14.4013,1,0,0,0,10
93750,"White",0,9.375,1,0,0,0,9
138099,"White",0,13.8099,1,0,0,0,10
51278,"Hispanic/Latino",0,5.1278,0,0,0,1,4
97386,"White",1,9.7386,1,0,0,0,9
35341,"Hispanic/Latino",0,3.5341,0,0,0,1,2
144602,"White",0,14.4602,1,0,0,0,10
17950,"No Majority",1,1.795,0,0,1,0,1
53373,"Hispanic/Latino",1,5.3373,0,0,0,1,4
75729,"Black",0,7.5729,0,1,0,0,7
55485,"No Majority",0,5.5485,0,0,1,0,4
126266,"White",0,12.6266,1,0,0,0,10
50000,"Hispanic/Latino",0,5,0,0,0,1,4
44063,"Hispanic/Latino",0,4.4063,0,0,0,1,3
67562,"White",0,6.7562,1,0,0,0,6
89261,"White",0,8.9261,1,0,0,0,8
53750,"Hispanic/Latino",0,5.375,0,0,0,1,4
51515,"No Majority",1,5.1515,0,0,1,0,4
42010,"Black",0,4.201,0,1,0,0,2
145050,"White",0,14.505,1,0,0,0,10
115809,"White",0,11.5809,1,0,0,0,10
190375,"White",0,19.0375,1,0,0,0,10
188750,"White",0,18.875,1,0,0,0,10
128571,"White",0,12.8571,1,0,0,0,10
123793,"White",0,12.3793,1,0,0,0,10
56003,"Hispanic/Latino",0,5.6003,0,0,0,1,5
139023,"White",0,13.9023,1,0,0,0,10
162153,"White",0,16.2153,1,0,0,0,10
141014,"White",0,14.1014,1,0,0,0,10
147153,"White",0,14.7153,1,0,0,0,10
126611,"White",0,12.6611,1,0,0,0,10
92743,"White",0,9.2743,1,0,0,0,8
135074,"White",0,13.5074,1,0,0,0,10
65578,"White",0,6.5578,1,0,0,0,6
81429,"White",0,8.1429,1,0,0,0,8
105469,"White",0,10.5469,1,0,0,0,9
75182,"White",0,7.5182,1,0,0,0,7
84375,"White",0,8.4375,1,0,0,0,8
89357,"White",0,8.9357,1,0,0,0,8
53346,"White",0,5.3346,1,0,0,0,4
60582,"White",0,6.0582,1,0,0,0,5
141641,"White",0,14.1641,1,0,0,0,10
138667,"White",0,13.8667,1,0,0,0,10
101471,"No Majority",0,10.1471,0,0,1,0,9
104500,"White",0,10.45,1,0,0,0,9
58494,"No Majority",0,5.8494,0,0,1,0,5
74297,"White",0,7.4297,1,0,0,0,7
